"id","area_id","tipo","titulo","versao","estado_documental","validacao","fonte_id","origem"
"D17-DOC-PEP-001","D17","macro","Plano de Emprego e Portfólio","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D18-DOC-PCE-001","D18","macro","Plano de Contratos e Esquemas","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D19-DOC-PAC-001","D19","macro","Plano de Assets e CTAs","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D20-DOC-PPR-001","D20","macro","Plano de Plataformas e Repositórios","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D21-DOC-PWB-001","D21","macro","Plano de Workbooks","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D22-DOC-DRL-001","D22","macro","Decision and Register Log do Ecossistema","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D23-DOC-PBL-001","D23","macro","Plano de Blueprints","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D17-DOC-CVP-001","D17","especializado","Currículo e Perfil Profissional","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D17-DOC-LNK-001","D17","especializado","LinkedIn e Presença Profissional","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D17-DOC-PSW-001","D17","especializado","Portfólio e Showroom de Desenvolvimento e Agentes de IA","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D18-DOC-RCS-001","D18","especializado","Registro de Contratos, Esquemas e Submissões","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D19-DOC-CAC-001","D19","especializado","Catálogo Mestre de Assets e CTAs","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D20-DOC-MPR-001","D20","especializado","Mapa de Plataformas, Diretórios e Repositórios","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D21-DOC-CWB-001","D21","especializado","Catálogo e Controle de Workbooks","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D22-DOC-RDE-001","D22","especializado","Registro de Decisões do Ecossistema","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
"D22-DOC-RGE-001","D22","especializado","Registro Geral do Ecossistema","0.1.0","id_registrado_modelo_pendente","pendente","GOV-IDX-046-002","Expansão D17-D23 em 2026-09-12"
