"id","area_id","tipo","titulo","caminho","versao","estado_documental","validacao","owner","prazo","fonte_id","origem","evidencia"
"D01-DOC-DDE-001","D01","macro","Documento de Direção Empresarial","01_areas/D01__gestao-empresarial/00_documentos/D01-DOC-DDE-001__documento-de-direcao-empresarial.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D02-DOC-DGRC-001","D02","macro","Documento de Governança, Riscos e Conformidade","01_areas/D02__juridico-riscos-e-conformidade/00_documentos/D02-DOC-DGRC-001__documento-de-governanca-riscos-e-conformidade.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D03-DOC-PFO-001","D03","macro","Plano Financeiro e Orçamentário","01_areas/D03__financas/00_documentos/D03-DOC-PFO-001__plano-financeiro-e-orcamentario.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D04-DOC-PPC-001","D04","macro","Plano de Pessoas e Capacidade","01_areas/D04__pessoas-e-recursos-humanos/00_documentos/D04-DOC-PPC-001__plano-de-pessoas-e-capacidade.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D05-DOC-EPGD-001","D05","macro","Estratégia e Plano de Gestão de Dados","01_areas/D05__dados/00_documentos/D05-DOC-EPGD-001__estrategia-e-plano-de-gestao-de-dados.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D06-DOC-EGC-001","D06","macro","Estratégia de Gestão do Conhecimento","01_areas/D06__conhecimento-e-busca-corporativa/00_documentos/D06-DOC-EGC-001__estrategia-de-gestao-do-conhecimento.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D07-DOC-PEX-001","D07","macro","Plano de Execução","01_areas/D07__produtividade-e-execucao/00_documentos/D07-DOC-PEX-001__plano-de-execucao.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D08-DOC-MOP-001","D08","macro","Manual de Operações","01_areas/D08__operacoes/00_documentos/D08-DOC-MOP-001__manual-de-operacoes.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D09-DOC-PPE-001","D09","macro","Plano de Pesquisa e Experimentação","01_areas/D09__pesquisa-e-inovacao/00_documentos/D09-DOC-PPE-001__plano-de-pesquisa-e-experimentacao.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D10-DOC-DRP-001","D10","macro","Documento de Requisitos de Produto","01_areas/D10__gestao-de-produto/00_documentos/D10-DOC-DRP-001__documento-de-requisitos-de-produto.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D11-DOC-EEP-001","D11","macro","Especificação de Experiência e Projeto","01_areas/D11__experiencia-e-projeto/00_documentos/D11-DOC-EEP-001__especificacao-de-experiencia-e-projeto.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D12-DOC-ETE-001","D12","macro","Especificação Técnica de Engenharia","01_areas/D12__engenharia/00_documentos/D12-DOC-ETE-001__especificacao-tecnica-de-engenharia.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D13-DOC-DRM-001","D13","macro","Documento de Requisitos de Mercado","01_areas/D13__mercado-e-geracao-de-demanda/00_documentos/D13-DOC-DRM-001__documento-de-requisitos-de-mercado.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D14-DOC-PCV-001","D14","macro","Plano Comercial e de Vendas","01_areas/D14__vendas/00_documentos/D14-DOC-PCV-001__plano-comercial-e-de-vendas.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D15-DOC-PASC-001","D15","macro","Plano de Atendimento e Sucesso do Cliente","01_areas/D15__atendimento-e-sucesso-do-cliente/00_documentos/D15-DOC-PASC-001__plano-de-atendimento-e-sucesso-do-cliente.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D16-DOC-PEM-001","D16","macro","Plano Estratégico de Mídias Sociais","01_areas/D16__midias-sociais-e-distribuicao-digital/00_documentos/D16-DOC-PEM-001__plano-estrategico-de-midias-sociais.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Enumerado",""
"D01-DOC-TAP-001","D01","especializado","Termo de Abertura do Ecossistema","01_areas/D01__gestao-empresarial/00_documentos/D01-DOC-TAP-001__termo-de-abertura-do-ecossistema.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D01-DOC-MNE-001","D01","especializado","Modelo de Negócio do Ecossistema","01_areas/D01__gestao-empresarial/00_documentos/D01-DOC-MNE-001__modelo-de-negocio-do-ecossistema.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D01-DOC-MRE-001","D01","especializado","Mapa de Relações do Ecossistema","01_areas/D01__gestao-empresarial/00_documentos/D01-DOC-MRE-001__mapa-de-relacoes-do-ecossistema.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D02-DOC-MRC-001","D02","especializado","Matriz de Riscos e Controles","01_areas/D02__juridico-riscos-e-conformidade/00_documentos/D02-DOC-MRC-001__matriz-de-riscos-e-controles.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D02-DOC-PPT-001","D02","especializado","Política de Privacidade e Termos","01_areas/D02__juridico-riscos-e-conformidade/00_documentos/D02-DOC-PPT-001__politica-de-privacidade-e-termos.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D03-DOC-MFO-001","D03","especializado","Modelo Financeiro do Ecossistema","01_areas/D03__financas/00_documentos/D03-DOC-MFO-001__modelo-financeiro-do-ecossistema.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D05-DOC-DCM-001","D05","especializado","Dicionário de Dados e Catálogo de Métricas","01_areas/D05__dados/00_documentos/D05-DOC-DCM-001__dicionario-de-dados-e-catalogo-de-metricas.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D06-DOC-RMI-001","D06","especializado","Registro Mestre de Identidades","01_areas/D06__conhecimento-e-busca-corporativa/00_documentos/D06-DOC-RMI-001__registro-mestre-de-identidades.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D07-DOC-PIM-001","D07","especializado","Plano de Implementação e Marcos","01_areas/D07__produtividade-e-execucao/00_documentos/D07-DOC-PIM-001__plano-de-implementacao-e-marcos.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D08-DOC-RUN-001","D08","especializado","Runbook Operacional do Ecossistema","01_areas/D08__operacoes/00_documentos/D08-DOC-RUN-001__runbook-operacional-do-ecossistema.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D09-DOC-DEB-001","D09","especializado","Dossiê de Evidências e Base Científica","01_areas/D09__pesquisa-e-inovacao/00_documentos/D09-DOC-DEB-001__dossie-de-evidencias-e-base-cientifica.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D10-DOC-PRD-001","D10","especializado","Requisitos Integrados dos Produtos","01_areas/D10__gestao-de-produto/00_documentos/D10-DOC-PRD-001__requisitos-integrados-dos-produtos.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
"D11-DOC-DSI-001","D11","especializado","Sistema de Design e Interface","01_areas/D11__experiencia-e-projeto/00_documentos/D11-DOC-DSI-001__sistema-de-design-e-interface.md","0.2.0","rascunho","pendente","","","GOV-IDX-030-001","Recomendado","EVD-D11-DSI-001-01;EVD-D11-DSI-001-02"
"D13-DOC-GTM-001","D13","especializado","Plano de Entrada no Mercado e Lançamento","01_areas/D13__mercado-e-geracao-de-demanda/00_documentos/D13-DOC-GTM-001__plano-de-entrada-no-mercado-e-lancamento.md","0.1.0","modelo","pendente","","","GOV-IDX-030-001","Recomendado",""
