"area_id","topico_id","topico","subtopico_id","subtopico","caminho","validacao"
"D01","D01-T01","Direção e estratégia","D01-T01-S01","Propósito e visão","01_areas/D01__gestao-empresarial/01__direcao-e-estrategia/01__proposito-e-visao","Proposto"
"D01","D01-T01","Direção e estratégia","D01-T01-S02","Objetivos e indicadores","01_areas/D01__gestao-empresarial/01__direcao-e-estrategia/02__objetivos-e-indicadores","Proposto"
"D01","D01-T02","Modelo empresarial","D01-T02-S01","Proposta de valor","01_areas/D01__gestao-empresarial/02__modelo-empresarial/01__proposta-de-valor","Proposto"
"D01","D01-T02","Modelo empresarial","D01-T02-S02","Receitas e parcerias","01_areas/D01__gestao-empresarial/02__modelo-empresarial/02__receitas-e-parcerias","Proposto"
"D01","D01-T03","Governança do programa","D01-T03-S01","Papéis e decisões","01_areas/D01__gestao-empresarial/03__governanca-do-programa/01__papeis-e-decisoes","Proposto"
"D01","D01-T03","Governança do programa","D01-T03-S02","Relações do ecossistema","01_areas/D01__gestao-empresarial/03__governanca-do-programa/02__relacoes-do-ecossistema","Proposto"
"D02","D02-T01","Governança e conformidade","D02-T01-S01","Obrigações e controles","01_areas/D02__juridico-riscos-e-conformidade/01__governanca-e-conformidade/01__obrigacoes-e-controles","Proposto"
"D02","D02-T01","Governança e conformidade","D02-T01-S02","Auditorias e evidências","01_areas/D02__juridico-riscos-e-conformidade/01__governanca-e-conformidade/02__auditorias-e-evidencias","Proposto"
"D02","D02-T02","Riscos","D02-T02-S01","Identificação e avaliação","01_areas/D02__juridico-riscos-e-conformidade/02__riscos/01__identificacao-e-avaliacao","Proposto"
"D02","D02-T02","Riscos","D02-T02-S02","Respostas e monitoramento","01_areas/D02__juridico-riscos-e-conformidade/02__riscos/02__respostas-e-monitoramento","Proposto"
"D02","D02-T03","Privacidade e contratos","D02-T03-S01","Tratamento de dados","01_areas/D02__juridico-riscos-e-conformidade/03__privacidade-e-contratos/01__tratamento-de-dados","Proposto"
