artifact_type,candidate_canonical_id,candidate_domain,conflict_status,epistemic_class,migration_action,notes,source_blob_sha,source_branch,source_commit,source_filename,source_mode,source_path,source_repo,source_size,target_path,target_repo,validation_status
"source_artifact","GAP","MAESTRO","SOURCE_RETAINED","CORPUS_DIRECT","KEEP","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","8a673c8dda6eb4c636f5a52626e18f2a42c2ea50","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitignore","100644",".gitignore","Sas-Executar/Maestr-Docs","68",".gitignore","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"source_artifact","GAP","MAESTRO","SOURCE_RETAINED","CORPUS_DIRECT","KEEP","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","49c5a316e5e0a776163cb673a8ca436845e60439","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitmodules","100644",".gitmodules","Sas-Executar/Maestr-Docs","253",".gitmodules","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"source_artifact","GAP","GAP","NON_CANONICAL_SNAPSHOT","CORPUS_DIRECT","COPY","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","59884b41f3a41003db3197200b0cd9352df24c58","main","48db71b13e8108479bcf1961a812c1785140a44f","00-dropzone.md","100644","00-dropzone/00-dropzone.md","Sas-Executar/Maestr-Docs","311","00_input/maestro-migration/01_original/00-dropzone/00-dropzone.md","Sas-Executar/Programa-Sas","BLOB_HASH_VERIFIED_IN_REVIEW_TREE"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/01-xls/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/01-xls/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/02-docs/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/02-docs/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/03-pdf/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/03-pdf/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/04-images/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/04-images/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/05-json/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/05-json/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/06-zip/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/06-zip/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
"empty_placeholder","GAP","GAP","SOURCE_RETAINED","CORPUS_DIRECT","DO_NOT_MIGRATE","Classificação de destino PROPOSED; rótulos e IDs internos não são alterados. Placeholders vazios não são documentos.","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","main","48db71b13e8108479bcf1961a812c1785140a44f",".gitkeep","100644","00-dropzone/07-code/.gitkeep","Sas-Executar/Maestr-Docs","0","00-dropzone/07-code/.gitkeep","Sas-Executar/Maestr-Docs","SOURCE_RETAINED"
