classification_id,source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_mode,source_size,artifact_type,epistemic_class,candidate_domain,candidate_canonical_id,candidate_target,canonical_status,migration_action,conflict_status,validation_status,distribution_status,intake_path,rationale
"MC-REC-001","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/01-master-index.md","e0f6bda01f7bbcb21c7c37015787f260d8514e3d","100644","285","master_index","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/01-master-index.md","Mapa de autoridade para IDs, schemas, taxonomias, relações e relatórios."
"MC-REC-002","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","05bd74f9fc6518312365b0a00f2e18bd3ee54668","100644","56888","schema_governanca","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","Modelo de cobertura do ecossistema; requer reconciliação de autoridade antes de qualquer distribuição."
"MC-REC-003","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","f5ea42729d2dac69f34fb0d0623d4ee777f134eb","100644","67055","schema_contrato_produto","CORPUS_DIRECT","BLUEPRINTS","GAP","BLUEPRINTS/60-contracts/","PROPOSED","REFERENCE","CROSS_REPO_BOUNDARY","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","Contrato normalizado do produto; destino final sugerido é Blueprints, preservado primeiro no intake de Governance."
"MC-REC-004","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","14b606711f42b923d606624405ce2498ccd9fc25","100644","136497","schema_multidominio","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","PROPOSED","COPY","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","Fusão fundacional que cobre múltiplos domínios; não há atribuição D01–D16 segura nesta etapa."
"MC-REC-005","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/01-schemas/README.md","a7d9e4566284f5510a8b8ec457994dd03e4e1832","100644","797","documentacao_schema","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/01-schemas/README.md","Índice explicativo dos schemas de controle e interoperabilidade."
"MC-REC-006","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","ae90dfbe754f406e30dd8ee29e79468c8e166978","100644","15531","registro_taxonomico","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/taxonomies/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","Registro de cards, dependências e caminhos canônicos; requer reconciliação com o índice Governance."
"MC-REC-007","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/FOLDER_IDS.md","b08e47a55ef8c598ffea13a83b16c2f8503bcfd4","100644","383","registro_identidades","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/FOLDER_IDS.md","Regra e extensões de Folder IDs; candidato ao Registro Mestre de Identidades."
"MC-REC-008","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","ab0ba3f1d4158a7dd5aa8c011b61870c4cd9159a","100644","37260","registro_documental_hashes","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","Mapa de documentos, caminhos e hashes; requer deduplicação com RMOC."
"MC-REC-009","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/MOC_IDS.csv","8d3bcfe716f19252445c2f7df388d68638f59f91","100644","7748","registro_identidades","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MOC_IDS.csv","Relação de objetos, Folder IDs e paths; candidato a reconciliação de identidades."
"MC-REC-010","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","822c07dd870db8ed2d3e073df878881cefa9a3ec","100644","40873","registro_classificacao","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","Roteamento e classificação documental; não redistribuir sem matriz de equivalência."
"MC-REC-011","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","8fd52bd806d2098fe1ec6a7d4207abddf1b3cd24","100644","2172","target_mapping","CORPUS_DIRECT","BLUEPRINTS","GAP","BLUEPRINTS/95-target-mapping/","PROPOSED","REFERENCE","CROSS_REPO_BOUNDARY","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","Mapa de domínio e caminhos do SaaS; destino final sugerido é Blueprint target mapping."
"MC-REC-012","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/03-relations/RELATIONS.md","e33cc9d778c95890245d7fcb08e4b8fae9cacb02","100644","2160","mapa_relacoes","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/03-relations/RELATIONS.md","Define canonical_home e relações cross-domain; precisa conciliar regras com Repository Boundaries."
"MC-REC-013","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","ae95a14ffb915bc263a71746c45682c822fb347a","100644","10956","relatorio_inventario","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","Relatório de inventário de repositórios; manter proveniência e revalidar quando os slugs mudarem."
"MC-REC-014","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","c77478941f7f3d68591d96d9cfb1f3af6cde5911","100644","10291","indice_tematico","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","Índice temático transdomínio; usar como referência, não como substituto de documentos canônicos."
"MC-REC-015","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","5ce22b7ac8650cbd801bcb35b893a001d41e49a6","100644","12215","registro_mestre","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","Inventário tabular de objetos e Folder IDs; candidato a reconciliação com RMOC."
"MC-REC-016","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/04-reports/MIGRATION_2026-08-26.md","e185f57162a9e9b5b9b22cae7ed69bbc9175d05a","100644","946","registro_migracao","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","99_archive/migration-history/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/04-reports/MIGRATION_2026-08-26.md","Registro histórico de migração; preservar como evidência, sem sobrescrever histórico local."
"MC-REC-017","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/04-reports/README.md","fcda019d2f99b5a6df73071910cf1fb840663fb4","100644","102","documentacao_relatorio","CORPUS_DIRECT","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/04-reports/README.md","Descrição do conjunto de relatórios de cobertura e integridade."
"MC-REC-018","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","01-master-index/CENTRAL_CONTROL.csv","48161a8a31caf935b7fa67bb66b0b7386524794d","100644","6833","registro_controle_pastas","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/01-master-index/CENTRAL_CONTROL.csv","Controle de Folder IDs e parent IDs; candidato a reconciliação com registro de identidades."
"MC-REC-019","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","caedbd3fda9b732003d0591a98a83fcfb278412b","100644","195904","registro_documental_canonico","CORPUS_DIRECT","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","Registro documental com IDs, caminhos e hashes; tratar como corpus direto até conciliação com RMOC."
"MC-REC-020","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","77500360bb812c4d4e79f6f4a32e6189f3881c75","100644","163363","registro_insights_estrategicos","CORPUS_DIRECT","MULTI_DOMAIN","GAP","04_evidence/strategic-insights/","PROPOSED","REFERENCE","MULTI_DOMAIN","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","Insights cobrem múltiplas áreas; exige roteamento por linha, não por arquivo."
"MC-REC-021","Sas-Executar/Maestr-Docs","main","48db71b13e8108479bcf1961a812c1785140a44f","60-dados/60-dados.md","0a2291341846e9221f4fcf061d3f13e491d87b0a","100644","247","mapa_dados","CORPUS_DIRECT","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","PROPOSED","COPY","REQUIRES_RECONCILIATION","BLOB_HASH_VERIFIED_IN_REVIEW_TREE","QUEUED_FOR_RECONCILIATION","00_input/maestro-migration/01_original/60-dados/60-dados.md","Mapa da camada de dados, evidências, schemas e exports."
