source_path,intake_path,candidate_domain,classification,status,next_step
"00-dropzone/00-dropzone.md","00_input/maestro-migration/01_original/00-dropzone/00-dropzone.md","GAP","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/01-master-index.md","00_input/maestro-migration/01_original/01-master-index/01-master-index.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","00_input/maestro-migration/01_original/01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","00_input/maestro-migration/01_original/01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","00_input/maestro-migration/01_original/01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/01-schemas/README.md","00_input/maestro-migration/01_original/01-master-index/01-schemas/README.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/FOLDER_IDS.md","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/FOLDER_IDS.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/MOC_IDS.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MOC_IDS.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/03-relations/RELATIONS.md","00_input/maestro-migration/01_original/01-master-index/03-relations/RELATIONS.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","00_input/maestro-migration/01_original/01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","00_input/maestro-migration/01_original/01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","00_input/maestro-migration/01_original/01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/04-reports/MIGRATION_2026-08-26.md","00_input/maestro-migration/01_original/01-master-index/04-reports/MIGRATION_2026-08-26.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/04-reports/README.md","00_input/maestro-migration/01_original/01-master-index/04-reports/README.md","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"01-master-index/CENTRAL_CONTROL.csv","00_input/maestro-migration/01_original/01-master-index/CENTRAL_CONTROL.csv","REGISTRY","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"10-business/10-business.md","00_input/maestro-migration/01_original/10-business/10-business.md","D01","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"20-produtos/20-produtos.md","00_input/maestro-migration/01_original/20-produtos/20-produtos.md","GAP","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"30-editorial-marketing/30-editorial-marketing.md","00_input/maestro-migration/01_original/30-editorial-marketing/30-editorial-marketing.md","D16","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"40-comercial-servicos/40-comercial-servicos.md","00_input/maestro-migration/01_original/40-comercial-servicos/40-comercial-servicos.md","D14","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"50-portfolio-carreira/50-portfolio-carreira.md","00_input/maestro-migration/01_original/50-portfolio-carreira/50-portfolio-carreira.md","GAP","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/01-product/FEATURES.md","00_input/maestro-migration/01_original/500-saas-mvp/01-product/FEATURES.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/01-product/PRODUCT_BRIEF.md","00_input/maestro-migration/01_original/500-saas-mvp/01-product/PRODUCT_BRIEF.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/01-product/REQUIREMENTS.md","00_input/maestro-migration/01_original/500-saas-mvp/01-product/REQUIREMENTS.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/01-product/SCANNER_README.md","00_input/maestro-migration/01_original/500-saas-mvp/01-product/SCANNER_README.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/02-experience/CUSTOMER_JOURNEY.md","00_input/maestro-migration/01_original/500-saas-mvp/02-experience/CUSTOMER_JOURNEY.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/02-experience/ONBOARDING.md","00_input/maestro-migration/01_original/500-saas-mvp/02-experience/ONBOARDING.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/02-experience/ROUTES.md","00_input/maestro-migration/01_original/500-saas-mvp/02-experience/ROUTES.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/02-experience/SCREEN_FLOW.md","00_input/maestro-migration/01_original/500-saas-mvp/02-experience/SCREEN_FLOW.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/03-engineering/ACCEPTANCE_CRITERIA.md","00_input/maestro-migration/01_original/500-saas-mvp/03-engineering/ACCEPTANCE_CRITERIA.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/03-engineering/ARCHITECTURE.md","00_input/maestro-migration/01_original/500-saas-mvp/03-engineering/ARCHITECTURE.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/03-engineering/FUNCTIONAL_SPECS.md","00_input/maestro-migration/01_original/500-saas-mvp/03-engineering/FUNCTIONAL_SPECS.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/03-engineering/IMPLEMENTATION_HANDOFF.md","00_input/maestro-migration/01_original/500-saas-mvp/03-engineering/IMPLEMENTATION_HANDOFF.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/03-engineering/code/README.md","00_input/maestro-migration/01_original/500-saas-mvp/03-engineering/code/README.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/04-reference/DECISIONS.md","00_input/maestro-migration/01_original/500-saas-mvp/04-reference/DECISIONS.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/04-reference/DESIGN_SOT.md","00_input/maestro-migration/01_original/500-saas-mvp/04-reference/DESIGN_SOT.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/04-reference/METHODOLOGIES.md","00_input/maestro-migration/01_original/500-saas-mvp/04-reference/METHODOLOGIES.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/04-reference/SOURCES.md","00_input/maestro-migration/01_original/500-saas-mvp/04-reference/SOURCES.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"500-saas-mvp/500-saas-mvp.md","00_input/maestro-migration/01_original/500-saas-mvp/500-saas-mvp.md","BLUEPRINT_CANDIDATE","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","00_input/maestro-migration/01_original/60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","00_input/maestro-migration/01_original/60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/60-dados.md","00_input/maestro-migration/01_original/60-dados/60-dados.md","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","00_input/maestro-migration/01_original/60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/60-exports/README.md","00_input/maestro-migration/01_original/60-dados/60-exports/README.md","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
"60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","D05/D06","PROPOSED","INBOX","Review content and reconcile existing canonical artifact before any distribution"
